PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
21,1,1,"Brown, Mrs. Ellen",FEMALE,16.1,0,0,A/5 174239,95.0755,B72,S
516,1,3,"Phillips, Col. Alfred",m,3.9,0,0,PC 250492,11.1378,,S
427,1,1,"Stewart, Mrs. Rose",FEMALE,,4,0,A/5 80051,191.2331,B88,Southampton
14,1,1,"Phillips, Mr. Herbert",Male,3.2,0,2,STON/O 337048,138.6745,C112,s
147,0,3,"Mitchell, Mr. Herbert",M,44.4,1,0,A/5 95589,4.3798,,Queenstown
64,1,3,"Clark, Mlle. Ellen",FEMALE,47.8,0,0,STON/O 351682,6.5688,,Queenstown
692,1,3,"Johnson, Col. Arthur",m,29.4,1,0,C.A. 239044,24.6399,,S
481,0,2,"Wright, Mr. Samuel",m,22.1,1,2,SC/PARIS 197586,1.7576,,S
233,1,3,"Nelson, Rev. Thomas",m,22.4,0,0,STON/O 64897,4.9966,,Cherbourg
110,1,1,"Allen, Rev. Thomas",MALE,44.1,0,0,STON/O 354557,73.4806,,S
795,0,3,"Taylor, Mlle. Annie",FEMALE,29.7,0,1,STON/O 361210,25.5865,,c
672,0,2,"Smith, Dr. Harry",M,28.6,1,0,C.A. 90549,,,Southampton
54,0,1,"Young, Major. Edward",m,27.1,1,0,A/5 129368,144.9156,,S
595,0,2,"Morris, Rev. Harry",MALE,42.1,0,0,STON/O 217186,4.3802,,Southampton
871,0,3,"Smith, Col. James",male,,2,0,PC 207022,19.2028,,S
160,0,3,"Taylor, Master. Charles",male,7.9 yrs,0,0,PC 399571,18.0188,,s
284,1,1,"Carter, Col. Walter",male,35.6,0,0,A/5 109610,5.1551,G102,Southampton
61,1,3,"Scott, Mr. Henry",MALE,13.1,0,0,A/5 109440,12.0045,,Southampton
563,0,3,"Smith, Mr. Arthur",MALE,22.4,0,0,STON/O 151346,9.1224,,S
389,0,2,"Wilson, Dr. Frank",MALE,64.3,0,0,STON/O 312443,35.2699,,C
257,0,3,"Collins, Dr. Herbert",male,30.3,1,0,STON/O 99818,26.6625,,C
99,1,3,"Johnson, Mlle. Ida",female,11.1,4,1,232756,1.8241,,Queenstown
500,1,1,"Parker, Rev. Henry",m,28.5,0,0,A/5 266907,16.1233,,S
736,0,2,"Clark, Mme. Elizabeth",female,27.3,0,0,C.A. 116690,2.1331,E125,S
378,0,3,"Baker, Master. Arthur",m,9.5,1,0,PC 11448,15.2912,,q
410,0,2,"Edwards, Lady. Anna",f,7.7,0,1,C.A. 72119,6.3476,,s
492,0,3,"Parker, Major. Henry",Male,14.2,0,0,269725,6.1243,,Southampton
664,1,1,"Allen, Miss. Sarah",F,9.3,0,0,STON/O 232271,113.019,,s
464,0,3,"Allen, Mlle. Bertha",f,21.2,4,0,PC 217397,47.9142,,S
845,0,3,"Phillips, Col. Albert",MALE,15.8,0,0,PC 170473,40.4054,,Southampton
172,0,1,"Anderson, Master. Henry",m,,0,0,SC/PARIS 283995,231.704,,S
707,1,3,"Anderson, Col. James",male,34.3,4,0,SC/PARIS 97871,4.2212,,s
129,1,3,"Taylor, Major. Robert",M,17.3,0,0,A/5 362905,28.3441,,Queenstown
740,0,3,"Nelson, Lady. Florence",f,,1,0,C.A. 114478,5.5542,,s
885,0,2,"Morris, Miss. Ida",FEMALE,33.2,0,0,343098,25.486,,Southampton
822,0,1,"Turner, Mrs. Annie",FEMALE,31.5,0,0,85192,$69.57,E61,
352,1,1,"Clark, Mr. John",Male,,2,0,PC 19540,,F108,C
337,0,3,"Carter, Col. James",Male,200.0,0,2,112702,10.3339,,Southampton
366,1,3,"Stewart, Dr. William",male,29.5,0,0,A/5 243243,28.1009,,S
26,0,3,"Nelson, Major. John",MALE,27.0,0,0,PC 214078,16.1292,,S
854,0,3,"Morris, Mr. Robert",MALE,27.4,0,0,295049,0.0033,,Southampton
25,0,3,"Hall, Miss. Helen",female,15.2,0,2,C.A. 289528,12.7752,,S
759,0,2,"Nelson, Major. Frank",Male,,0,0,350362,29.642,,c
254,1,3,"Morris, Mme. Helen",f,45.1,1,0,C.A. 43074,0.9238,,Southampton
741,0,1,"Hall, Mlle. Kate",f,1.8,0,0,PC 172597,250.4425,B39,S
676,1,1,"Phillips, Master. Edward",M,,0,0,SC/PARIS 256134,12.0285,E119,s
205,1,3,"Evans, Dr. Alfred",male,21.7,0,0,STON/O 337770,5.8198,,Q
583,0,3,"Young, Dr. Charles",m,11.3,0,0,A/5 335509,3.6656,,Cherbourg
27,0,3,"Stewart, Master. Thomas",M,9.5,0,1,A/5 205693,14.6838,,Southampton
47,1,3,"Taylor, Mr. Walter",m,16.3,0,0,C.A. 318828,13.5822,,Cherbourg
665,0,1,"Hall, Miss. Alice",F,9.7,0,2,SC/PARIS 54674,6.337,C141,s
786,0,3,"Campbell, Mlle. Margaret",FEMALE,21.1,0,1,C.A. 398061,11.3144,,S
271,0,3,"King, Master. Fred",male,7.1,0,0,77505,0.171,,S
454,1,2,"Green, Dr. James",male,45.1,1,2,C.A. 166707,4.1093,D5,Southampton
615,1,2,"Morris, Col. Samuel",m,52.2 yrs,0,0,A/5 149904,19.2046,,Q
400,1,3,"Moore, Miss. Florence",FEMALE,9.5,1,1,A/5 359154,9.0937,,Southampton
579,0,2,"Nelson, Major. Charles",M,0.4,0,0,STON/O 293736,25.368,,S
286,0,2,"Johnson, Mme. Rose",f,,0,0,STON/O 318282,8.9858,,S
180,0,3,"Allen, Mrs. Ellen",Female,,1,1,STON/O 77571,7.8359,,c
710,0,2,"Wilson, Rev. Walter",MALE,18.4,4,1,SC/PARIS 206853,6.6112,,S
610,0,3,"Moore, Rev. Albert",M,26.2,0,0,STON/O 89738,31.1934,,S
515,0,3,"Carter, Col. Harry",Male,35.9,1,1,A/5 9683,11.9872,,C
485,0,3,"Green, Mr. Charles",M,24.5,0,0,A/5 94319,4.3396,,C
720,1,1,"Allen, Mr. Fred",MALE,,0,2,PC 343805,34.3207,,Q
506,0,2,"Wright, Mme. Rose",f,21.1,1,0,A/5 341013,0.0006,,S
488,0,1,"Carter, Major. James",m,,0,0,SC/PARIS 56645,42.1529,F78,Southampton
169,0,3,"Brown, Rev. Charles",MALE,23.4,0,0,STON/O 344961,2.5487,,Southampton
767,1,3,"Moore, Dr. Alfred",M,27.1,1,0,A/5 350577,3.1863,,s
849,1,3,"Wilson, Rev. Frank",M,25.7,0,0,PC 48001,,,Southampton
526,0,3,"Wright, Master. John",MALE,,2,0,C.A. 315701,285.03,,Q
